timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1710372623036,45,/__debug__/history_sidebar/-578,200,OK,Thread Group 1-1,text,true,,428,714,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=00b2c93b84aa4a72a4f8dce9cea717a5,45,0,0
1710372623082,215,/v2/api/attendance/-579,200,OK,Thread Group 1-1,text,true,,1013,946,1,1,https://mechlintech.stage.clocksession.com/v2/api/attendance/?items_per_page=10&page=1&report_type=daily&user=fa7b100d-aaf5-4fc6-ad60-2eedf31536cf&date_after=2024-03-13&date_before=2024-03-13,215,0,0
1710372623298,52,/__debug__/history_sidebar/-580,200,OK,Thread Group 1-1,text,true,,428,714,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=def56e7d20c44913946dcea5d725723b,52,0,0
1710372623350,513,/v2/api/employees/-581,200,OK,Thread Group 1-1,text,true,,69903,850,1,1,https://mechlintech.stage.clocksession.com/v2/api/employees/?items_per_page=1000&activated=true,433,0,0
1710372623863,50,/__debug__/history_sidebar/-582,200,OK,Thread Group 1-1,text,true,,428,714,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=ead733d46e99479f9f863bd6e4b9e54b,50,0,0
1710372623913,44,/__debug__/history_sidebar/-583,200,OK,Thread Group 1-1,text,true,,428,714,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=61b11ecec7a8423f972980418afd6b36,44,0,0
1710372623958,247,/v2/api/attendance/-584,200,OK,Thread Group 1-1,text,true,,1015,946,1,1,https://mechlintech.stage.clocksession.com/v2/api/attendance/?items_per_page=10&page=1&report_type=daily&user=fa7b100d-aaf5-4fc6-ad60-2eedf31536cf&date_after=2024-03-13&date_before=2024-03-13,247,0,0
1710372624206,93,/images/icons/ei_calendar.png-585,200,OK,Thread Group 1-1,bin,true,,1442,738,1,1,https://mechlintech.stage.clocksession.com/images/icons/ei_calendar.png,93,0,0
1710372624299,46,/__debug__/history_sidebar/-586,200,OK,Thread Group 1-1,text,true,,428,714,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=5948ee9336244d51bc3da93cea5f8b6f,46,0,0
1710372624346,2525,Step 3 - Go to Resource management,200,"Number of samples in transaction : 15, number of failing samples : 0",Thread Group 1-1,,true,,87111,11838,1,1,null,0,5,0
1710372624347,371,/v2/api/projects/-588,200,OK,Thread Group 1-1,text,true,,2963,872,1,1,https://mechlintech.stage.clocksession.com/v2/api/projects/?is_active=true&page=1&items_per_page=1,371,0,0
1710372624718,363,/v2/api/projects/-589,200,OK,Thread Group 1-1,text,true,,1452,873,1,1,https://mechlintech.stage.clocksession.com/v2/api/projects/?is_active=false&page=1&items_per_page=1,363,0,0
1710372625082,405,/v2/api/projects/-587,200,OK,Thread Group 1-1,text,true,,1928,885,1,1,https://mechlintech.stage.clocksession.com/v2/api/projects/?ordering=-id&is_active=true&page=1&items_per_page=5,405,0,0
1710372625487,92,/images/icons/resource-management-active.png-590,200,OK,Thread Group 1-1,bin,true,,1758,772,1,1,https://mechlintech.stage.clocksession.com/images/icons/resource-management-active.png,92,0,0
1710372625579,84,/images/icons/dashboard.png-591,200,OK,Thread Group 1-1,bin,true,,1259,755,1,1,https://mechlintech.stage.clocksession.com/images/icons/dashboard.png,84,0,0
1710372625663,115,/images/icons/search.png-593,200,OK,Thread Group 1-1,bin,true,,1252,752,1,1,https://mechlintech.stage.clocksession.com/images/icons/search.png,115,0,0
1710372625779,45,/__debug__/history_sidebar/-594,200,OK,Thread Group 1-1,text,true,,428,733,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=8bf9eb7b765848b8b0813c21b5b855a6,45,0,0
1710372625824,437,/v2/api/employees/-592,200,OK,Thread Group 1-1,text,true,,69905,869,1,1,https://mechlintech.stage.clocksession.com/v2/api/employees/?items_per_page=1000&activated=true,366,0,0
1710372626261,46,/__debug__/history_sidebar/-595,200,OK,Thread Group 1-1,text,true,,428,733,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=ba5c9e2cfaa446ddb265072ceb149d3a,46,0,0
1710372626307,271,/v2/api/projects/-596,200,OK,Thread Group 1-1,text,true,,1928,885,1,1,https://mechlintech.stage.clocksession.com/v2/api/projects/?ordering=-id&is_active=true&page=1&items_per_page=5,271,0,0
1710372626579,79,/images/icons/edit-green.png-597,200,OK,Thread Group 1-1,bin,true,,1299,756,1,1,https://mechlintech.stage.clocksession.com/images/icons/edit-green.png,79,0,0
1710372626659,46,/__debug__/history_sidebar/-598,200,OK,Thread Group 1-1,text,true,,428,733,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=0ed6082e486840ea9bfcfb094fe18c5a,46,0,0
1710372626705,77,/images/icons/archived.png-599,200,OK,Thread Group 1-1,bin,true,,1227,754,1,1,https://mechlintech.stage.clocksession.com/images/icons/archived.png,77,0,0
1710372626782,48,/__debug__/history_sidebar/-600,200,OK,Thread Group 1-1,text,true,,428,733,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=9ef1efa2bcfb4bebae89b305c39590a1,48,0,0
1710372626830,46,/__debug__/history_sidebar/-601,200,OK,Thread Group 1-1,text,true,,428,733,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=e5ac3c22589e4867b8aad8a3795bd31d,46,0,0
1710372626876,2283,Step 4 - Select work schedules,200,"Number of samples in transaction : 10, number of failing samples : 0",Thread Group 1-1,,true,,151030,7944,1,1,null,0,3,0
1710372626877,482,/v2/api/employees/-602,200,OK,Thread Group 1-1,text,true,,69903,883,1,1,https://mechlintech.stage.clocksession.com/v2/api/employees/?items_per_page=1000&activated=true,405,0,0
1710372627359,966,/v2/api/workschedules/-603,200,OK,Thread Group 1-1,text,true,,8854,876,1,1,https://mechlintech.stage.clocksession.com/v2/api/workschedules/?page=1&items_per_page=5,966,0,0
1710372628325,62,/__debug__/history_sidebar/-604,200,OK,Thread Group 1-1,text,true,,428,747,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=30112a154f4e4497bf68795305e5fd98,62,0,0
1710372628388,128,/app/media/logosession_-_Copy.png-607,200,OK,Thread Group 1-1,bin,true,,54300,775,1,1,https://mechlintech.stage.clocksession.com/app/media/logosession_-_Copy.png,90,0,0
1710372628516,79,/images/profilepic.png-608,200,OK,Thread Group 1-1,bin,true,,3406,764,1,1,https://mechlintech.stage.clocksession.com/images/profilepic.png,79,0,0
1710372628595,44,/__debug__/history_sidebar/-606,200,OK,Thread Group 1-1,text,true,,428,747,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=e3fee823d8bd40139639c161a6cda9d2,44,0,0
1710372628639,79,/images/icons/arrow.png-605,200,OK,Thread Group 1-1,bin,true,,1038,765,1,1,https://mechlintech.stage.clocksession.com/images/icons/arrow.png,79,0,0
1710372628719,301,/v2/api/workschedules/-609,200,OK,Thread Group 1-1,text,true,,8853,876,1,1,https://mechlintech.stage.clocksession.com/v2/api/workschedules/?page=1&items_per_page=5,301,0,0
1710372629020,95,/images/profilepic.png-610,200,OK,Thread Group 1-1,bin,true,,3392,764,1,1,https://mechlintech.stage.clocksession.com/images/profilepic.png,95,0,0
1710372629115,47,/__debug__/history_sidebar/-611,200,OK,Thread Group 1-1,text,true,,428,747,1,1,https://mechlintech.stage.clocksession.com/__debug__/history_sidebar/?store_id=66d7cafca864412e8c4ab85106b21e95,47,0,0
